atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_DS,scout_FC,scout_FS,scout_I,scout_SG,scout_DE,scout_GS,scout_V,scout_FD,scout_A,scout_FF,scout_CA,scout_FT,scout_G
72391,Fernando Diniz,COR,Técnico,0.0,False,,,,,,,,,,,,,,
72460,Bernard,CAM,Meia,8.2,True,1.0,,1.0,,,,,,1.0,1.0,,,,
72493,Alex Telles,BOT,Lateral,2.0,True,1.0,,1.0,,,,,,,,,,,
72605,Vitor Hugo,CAM,Zagueiro,0.1,True,,1.0,1.0,1.0,,,,,,,,,,
73476,Marcão,FLU,Técnico,0.0,False,,,,,,,,,,,,,,
77510,Fred,CAM,Meia,2.6,True,,3.0,3.0,,,,,,1.0,,1.0,,,
78850,Reinaldo,MIR,Lateral,5.0,True,,,,,1.0,,,,,,,,,
82407,Chico Kim,MIR,Meia,2.7,True,1.0,2.0,2.0,,,,,,,,1.0,,,
86292,Bolasie,CHA,Atacante,-0.3,True,,1.0,,,,,,,,,,,,
87742,Neto Moura,MIR,Meia,3.0,True,2.0,,,,,,,,,,,,,
87747,Yago Felipe,CHA,Meia,6.9,True,4.0,2.0,3.0,,,,,,,,,,,
88963,Leonardo Jardim,FLA,Técnico,0.0,False,,,,,,,,,,,,,,
90061,Bruno Pacheco,CHA,Lateral,7.0,True,4.0,,2.0,,,,,,,,,,,
92171,Arthur Cabral,BOT,Atacante,4.0,True,1.0,,1.0,,,,,,1.0,,1.0,,,
92180,Jair Ventura,VIT,Técnico,0.0,False,,,,,,,,,,,,,,
92273,Odair Hellmann,CAP,Técnico,0.0,False,,,,,,,,,,,,,,
92747,Eduardo Domínguez,CAM,Técnico,4.98,True,,,,,,,,,,,,,,
94154,Maycon,CAM,Meia,-0.1,True,,2.0,1.0,,,,,,,,,,,
95332,Marcinho,CHA,Atacante,2.7,True,2.0,1.0,,,,,,,,,,,,
95362,Cassierra,CAM,Atacante,11.2,True,1.0,,1.0,,,,,,1.0,,,,,1.0
96591,Renan Lodi,CAM,Lateral,0.5,True,,,1.0,,,,,,,,,,,
97133,Dudu,CHA,Lateral,6.5,True,1.0,,,,,,,,,1.0,,,,
97341,Rogério Ceni,BAH,Técnico,0.0,False,,,,,,,,,,,,,,
97460,João Victor,MIR,Zagueiro,5.0,True,,,,,1.0,,,,,,,,,
98333,Gabriel Batista,BOT,Goleiro,0.6,True,,,,,,2.0,2.0,,,,,,,
