atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_FF,scout_SG,scout_DS,scout_FC,scout_FS,scout_I,scout_G,scout_FD,scout_CA,scout_PC,scout_PS,scout_V,scout_DE,scout_GS
72493,Alex Telles,BOT,Lateral,5.0,True,,1.0,,,,,,,,,,,,
77777,João Schmidt,SAN,Meia,-0.3,True,,,,1.0,,,,,,,,,,
79437,Roger Machado,SAO,Técnico,0.0,False,,,,,,,,,,,,,,
80196,Yago Pikachu,REM,Meia,0.5,True,1.0,,,1.0,,,,,,,,,,
81150,Mayke,SAN,Lateral,5.9,True,,1.0,,1.0,,,,1.0,,,,,,
82730,Marcelo Rangel,REM,Goleiro,6.3,True,,1.0,,,,,,,,,,,1.0,
83433,Patrick,REM,Meia,0.0,True,,,,,,,,,,,,,,
84558,Lucas Romero,CRU,Meia,2.7,True,,,2.0,1.0,,,,,,,,,,
86859,José Welison,REM,Meia,1.3,True,1.0,,,,1.0,,,,,,,,,
87470,Thaciano,SAN,Meia,1.5,True,,,1.0,,,,,,,,,,,
88037,Luís Castro,GRE,Técnico,0.0,False,,,,,,,,,,,,,,
88963,Leonardo Jardim,FLA,Técnico,0.0,False,,,,,,,,,,,,,,
89256,Gerson,CRU,Meia,2.2,True,,,1.0,1.0,2.0,,,,,,,,,
91607,Rony,SAN,Atacante,-0.1,True,,,,,,1.0,,,,,,,,
92171,Arthur Cabral,BOT,Atacante,0.1,True,,,1.0,1.0,,1.0,,,1.0,,,,,
92180,Jair Ventura,VIT,Técnico,0.0,False,,,,,,,,,,,,,,
92273,Odair Hellmann,CAP,Técnico,0.0,False,,,,,,,,,,,,,,
92747,Eduardo Domínguez,CAM,Técnico,0.0,False,,,,,,,,,,,,,,
92811,Bruno Rodrigues,CRU,Atacante,1.2,True,,,,,,,,1.0,,,,,,
93368,Lucas Veríssimo,SAN,Zagueiro,5.5,True,,1.0,,,1.0,,,,,,,,,
97341,Rogério Ceni,BAH,Técnico,0.0,True,,,,,,,,,,,,,,
97642,Félix Torres,INT,Zagueiro,5.5,True,,1.0,,,1.0,,,,,,,,,
97795,Marcelinho,REM,Lateral,6.0,True,,1.0,,,2.0,,,,,,,,,
98517,Jean Lucas,BAH,Meia,0.5,True,,,,,1.0,,,,,,,,,
99274,Alexander Barboza,BOT,Zagueiro,5.0,True,,1.0,,,,,,,,,,,,
99366,Luis Zubeldía,FLU,Técnico,0.0,False,,,,,,,,,,,,,,
