atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100
130283,Matheus Dias,CFC,Meia,6,1.0,0.0,0.0,0,0.0,False,False,BOT,0.863,valor_bom,0.0,0.0,0.0,60.8
96831,Carlinhos,REM,Atacante,6,3.5,0.0,-1.0,0,0.0,False,True,VAS,-1.685,armadilha_forte,0.0,0.0,0.0,57.0
97795,Marcelinho,REM,Lateral,7,5.24,1.22,3.77,7,10.8,True,True,VAS,0.237,neutro,3.447,3.34,0.875,42.2
104257,João Lucas,REM,Lateral,5,4.59,0.0,2.82,6,0.0,False,True,VAS,0.22,neutro,3.017,2.82,0.75,42.2
97735,Giovanni Pavani,REM,Meia,6,2.98,0.0,1.5,1,0.0,False,True,VAS,-0.327,neutro,0.883,1.5,0.125,57.2
84708,Panagiotis,REM,Meia,6,3.0,0.0,0.0,0,0.0,False,True,VAS,-1.293,armadilha_leve,0.0,0.0,0.0,57.2
83074,Ygor Vinhas,REM,Goleiro,6,3.0,0.0,0.0,0,0.0,False,True,VAS,-1.163,armadilha_leve,0.0,0.0,0.0,42.6
111945,Diego Hernández,REM,Meia,6,3.69,0.0,1.47,3,0.0,False,True,VAS,0.082,neutro,1.737,1.47,0.375,57.2
107700,Eduardo Melo,REM,Atacante,6,2.13,0.0,1.4,1,0.0,False,True,VAS,0.284,neutro,1.001,1.4,0.125,57.0
95555,Sávio,REM,Lateral,6,4.66,0.0,2.47,3,0.0,False,True,VAS,0.129,neutro,2.975,2.47,0.375,42.2
102911,Zé Ricardo,REM,Meia,6,4.6,0.0,3.5,9,0.0,False,True,VAS,0.587,valor_bom,2.718,3.5,1.0,57.2
117338,Yago Ferreira,REM,Meia,6,2.0,0.0,0.0,0,0.0,False,True,VAS,-0.398,neutro,0.0,0.0,0.0,57.2
146040,João Pedro,REM,Atacante,6,3.13,0.0,2.06,5,0.0,False,True,VAS,-0.114,neutro,1.378,0.46,0.625,57.0
107172,Patrick de Paula,REM,Meia,6,7.36,0.0,5.48,6,0.0,False,True,VAS,1.571,valor_oculto,4.789,3.81,0.75,57.2
143455,PH Gama,REM,Meia,6,2.0,0.0,0.0,0,0.0,False,True,VAS,-0.398,neutro,0.0,0.0,0.0,57.2
141386,Marcos Alexandre,REM,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,VAS,0.705,valor_bom,0.0,0.0,0.0,42.6
98224,Jáderson,REM,Meia,6,2.53,-0.12,0.53,6,0.0,True,True,VAS,-0.165,neutro,0.687,0.53,0.75,57.2
68822,Rafael Santos,CHA,Goleiro,7,5.24,2.05,4.65,2,8.1,True,False,CAP,0.675,valor_bom,3.23,4.65,0.25,28.2
70958,Jean Carlos,CHA,Meia,7,8.04,-0.14,4.54,9,1.6,True,False,CAP,0.923,valor_bom,4.413,2.32,1.0,22.6
95620,Bruno Leonardo,CHA,Zagueiro,7,2.8,-0.59,1.52,8,-0.9,True,False,CAP,0.616,valor_bom,1.638,1.15,1.0,26.7
71043,Léo Vieira,BAH,Goleiro,7,6.83,-0.77,5.79,9,3.2,True,False,MIR,1.736,valor_oculto,5.009,4.68,1.0,71.2
83048,Rafael Thyere,CHA,Zagueiro,6,4.0,0.0,0.0,0,0.0,False,False,CAP,-2.033,armadilha_forte,0.0,0.0,0.0,26.7
95332,Marcinho,CHA,Atacante,6,3.04,-0.47,1.75,8,-0.3,True,False,CAP,-0.08,neutro,1.351,1.75,1.0,23.4
88293,Neto Pessoa,CHA,Atacante,6,4.89,1.6,3.03,4,8.0,True,False,CAP,-0.043,neutro,2.459,1.03,0.5,23.4
141385,João Victor,REM,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,VAS,0.705,valor_bom,0.0,0.0,0.0,42.6
145782,Tassano,REM,Zagueiro,6,3.0,0.0,0.0,0,0.0,False,True,VAS,-1.321,armadilha_leve,0.0,0.0,0.0,41.9
142593,Nicolás Ferreira,REM,Atacante,6,2.74,0.0,0.2,1,0.0,False,True,VAS,-0.335,neutro,0.868,0.2,0.125,57.0
122441,Kayky Almeida,REM,Zagueiro,6,2.81,0.0,1.89,7,0.0,False,True,VAS,0.802,valor_bom,1.818,1.89,0.875,41.9
97432,Victor Caetano,CHA,Zagueiro,6,3.47,0.0,2.0,5,0.0,False,False,CAP,0.326,neutro,1.849,2.0,0.625,26.7
105664,Walter Clar,CHA,Lateral,2,7.88,0.06,5.2,9,2.8,True,False,CAP,0.92,valor_bom,5.442,2.31,1.0,27.3
101393,Eduardo Doma,CHA,Zagueiro,7,5.19,-0.23,3.9,9,4.7,True,False,CAP,0.793,valor_bom,3.241,2.9,1.0,26.7
68938,Giovanni Augusto,CHA,Meia,6,3.2,0.0,0.93,7,0.0,False,False,CAP,-0.515,armadilha_leve,0.864,0.93,0.875,22.6
109336,Rafael Carvalheira,CHA,Meia,7,4.93,0.0,2.54,8,0.0,False,False,CAP,-0.161,neutro,2.189,1.92,1.0,22.6
102906,Anderson,CHA,Goleiro,6,3.0,0.0,0.0,0,0.0,False,False,CAP,-1.163,armadilha_leve,0.0,0.0,0.0,28.2
104470,Everton,CHA,Lateral,3,3.73,-0.3,2.27,8,-1.0,True,False,CAP,-0.114,neutro,2.062,1.27,1.0,27.3
97969,Marcos Vinícius,CHA,Lateral,7,3.91,0.5,2.8,3,4.5,True,False,CAP,-0.207,neutro,2.112,1.13,0.375,27.3
116066,Rubens,CHA,Atacante,6,3.15,0.0,2.28,5,0.0,False,False,CAP,-0.046,neutro,1.462,0.68,0.625,23.4
107516,Ênio,CHA,Atacante,7,5.25,1.23,3.3,2,5.6,True,False,CAP,-0.265,neutro,2.399,3.3,0.25,23.4
104519,Camilo,CHA,Meia,7,5.41,1.09,2.98,8,6.3,True,False,CAP,-0.166,neutro,2.409,2.98,1.0,22.6
122138,João Vitor,CHA,Meia,6,3.24,0.13,1.86,5,1.9,True,False,CAP,-0.17,neutro,1.211,1.86,0.625,22.6
130414,Robert,CHA,Meia,5,3.51,0.0,3.0,1,0.0,False,False,CAP,-0.537,armadilha_leve,1.049,3.0,0.125,22.6
111279,Mancha,CHA,Lateral,6,3.0,0.0,0.0,0,0.0,False,False,CAP,-1.581,armadilha_forte,0.0,0.0,0.0,27.3
103987,Higor Meritão,CHA,Meia,6,7.62,0.0,4.95,7,0.0,False,False,CAP,1.259,valor_bom,4.588,4.24,0.875,22.6
121870,Gustavo Talles,CHA,Lateral,6,2.0,0.0,0.0,0,0.0,False,False,CAP,-0.47,neutro,0.0,0.0,0.0,27.3
97900,Vitão,FLA,Zagueiro,6,8.27,0.0,1.9,3,0.0,False,False,FLU,-0.287,neutro,3.434,0.9,0.375,32.6
107453,João Paulo,CHA,Zagueiro,6,4.91,0.0,7.0,1,0.0,False,False,CAP,0.679,valor_bom,2.999,2.0,0.125,26.7
110426,Bernabei,INT,Lateral,6,10.45,2.59,5.16,9,15.7,True,True,GRE,-0.082,neutro,5.421,3.83,1.0,67.0
123625,Ítalo,CHA,Atacante,7,3.03,0.25,1.99,9,1.8,True,False,CAP,0.073,neutro,1.501,1.99,1.0,23.4
130843,Arthur Dias,CAP,Zagueiro,7,5.08,-1.2,3.32,7,0.0,True,True,CHA,0.462,neutro,2.882,2.46,0.875,80.7
140438,David,CHA,Meia,6,1.31,0.62,0.77,3,2.6,True,False,CAP,1.272,valor_bom,0.796,0.77,0.375,22.6
124674,Felipe Negrucci,SAO,Meia,6,2.0,0.0,0.0,0,0.0,False,False,VIT,-0.398,neutro,0.0,0.0,0.0,32.8
130806,Kauan,CHA,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,False,CAP,0.891,valor_bom,0.0,0.0,0.0,26.7
68708,Eduardo,MIR,Meia,7,6.63,-0.27,3.4,4,1.0,True,True,BAH,0.984,valor_bom,3.98,2.15,0.5,23.3
89837,Lucho Acosta,FLU,Meia,7,11.78,0.0,7.62,9,0.0,False,True,FLA,1.602,valor_oculto,6.044,4.29,1.0,61.8
99552,Rossi,FLA,Goleiro,7,7.48,-0.27,3.6,8,0.3,True,False,FLU,0.446,neutro,3.865,1.73,1.0,33.9
89274,Andreas Pereira,PAL,Meia,7,14.31,-0.94,7.07,10,2.6,True,False,COR,0.805,valor_bom,5.826,2.57,1.0,65.4
51772,Everton Ribeiro,BAH,Meia,7,10.16,1.23,5.54,5,8.9,True,False,MIR,0.64,valor_bom,4.759,3.54,0.625,71.2
127969,Matheus Reis,FLU,Atacante,5,1.0,0.0,0.0,0,0.0,False,True,FLA,0.546,valor_bom,0.0,0.0,0.0,61.5
