atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados
84735,Jorginho,FLA,Meia,5,10.36,0.0,3.31,7,0.0,False,True,BAH,-0.45,neutro,3.758,2.6,0.875,53.1,neutro,3.49
80061,Saúl,FLA,Meia,6,7.0,0.0,0.0,0,0.0,False,True,BAH,-3.521,armadilha_forte,0.0,0.0,0.0,53.1,neutro,0.0
109096,Plata,FLA,Atacante,6,11.92,1.58,8.15,4,12.8,True,True,BAH,1.095,valor_bom,5.924,4.9,0.5,54.0,neutro,3.2
115914,Evertton Araújo,FLA,Meia,7,2.99,0.31,0.85,6,2.5,True,True,BAH,-0.399,neutro,0.841,0.85,0.75,53.1,neutro,0.67
140492,João Victor,FLA,Zagueiro,6,2.0,0.0,0.0,0,0.0,False,True,BAH,-0.498,neutro,0.0,0.0,0.0,43.1,neutro,0.0
130189,Léo Nannetti,FLA,Goleiro,6,2.0,0.0,0.0,0,0.0,False,True,BAH,-0.393,neutro,0.0,0.0,0.0,43.3,neutro,0.0
122318,Dyogo Alves,FLA,Goleiro,6,3.0,0.0,0.0,0,0.0,False,True,BAH,-1.179,armadilha_leve,0.0,0.0,0.0,43.3,neutro,0.0
122573,Wallace Yan,FLA,Atacante,6,3.64,0.0,0.27,3,0.0,False,True,BAH,-0.248,neutro,1.588,0.27,0.375,54.0,neutro,0.64
122320,Daniel Sales,FLA,Lateral,6,2.0,0.0,0.0,0,0.0,False,True,BAH,-0.62,armadilha_leve,0.0,0.0,0.0,42.9,neutro,0.0
96652,Allan,COR,Meia,6,2.85,0.0,0.88,6,0.0,False,False,VIT,-0.272,neutro,0.854,0.88,0.75,16.7,desfavoravel,0.21
78445,Renê,FLU,Lateral,7,10.25,0.47,6.89,7,5.0,True,False,SAN,0.936,valor_bom,6.154,4.6,0.875,50.6,neutro,5.45
143295,Joshua,FLA,Meia,6,3.0,0.0,0.0,0,0.0,False,True,BAH,-1.341,armadilha_leve,0.0,0.0,0.0,53.1,neutro,0.0
140303,Da Mata,FLA,Zagueiro,6,2.0,0.0,0.0,0,0.0,False,True,BAH,-0.498,neutro,0.0,0.0,0.0,43.1,neutro,0.0
78117,Everaldo,BAH,Atacante,7,6.9,-0.16,5.46,8,2.4,True,False,FLA,1.722,valor_oculto,5.136,2.46,1.0,40.4,neutro,4.15
99228,De la Cruz,FLA,Meia,2,6.02,-0.16,1.56,5,2.5,True,True,BAH,0.393,neutro,3.154,1.56,0.625,53.1,neutro,2.09
62977,Ganso,FLU,Meia,2,3.66,-0.49,1.13,10,-0.3,True,False,SAN,-0.187,neutro,1.471,1.13,1.0,42.5,neutro,1.25
145705,Douglas Telles,FLA,Atacante,6,2.0,0.0,0.0,0,0.0,False,True,BAH,-0.566,armadilha_leve,0.0,0.0,0.0,54.0,neutro,0.0
130382,Guilherme Gomes,FLA,Meia,6,3.0,0.0,0.0,0,0.0,False,True,BAH,-1.341,armadilha_leve,0.0,0.0,0.0,53.1,neutro,0.0
73384,Samuel Xavier,FLU,Lateral,7,8.23,-0.28,4.22,8,1.2,True,False,SAN,0.31,neutro,4.865,3.47,1.0,50.6,neutro,4.92
86485,Keno,CFC,Atacante,5,4.12,0.0,0.73,4,0.0,False,True,CAM,-0.485,neutro,1.632,0.73,0.5,41.9,neutro,0.68
82463,Otávio,FLU,Meia,6,3.21,0.0,0.73,4,0.0,False,False,SAN,-0.614,armadilha_leve,0.799,0.73,0.5,42.5,neutro,0.34
99366,Luis Zubeldía,FLU,Técnico,7,10.06,-0.05,5.83,11,3.48,True,False,SAN,-0.051,neutro,5.601,5.83,1.0,42.7,neutro,4.78
87258,Soteldo,FLU,Atacante,6,4.37,0.0,1.07,6,0.0,False,False,SAN,-0.604,armadilha_leve,1.649,1.07,0.75,42.1,neutro,1.04
101319,Guga,FLU,Lateral,6,5.0,-0.15,1.97,6,0.5,True,False,SAN,-0.437,neutro,2.636,0.97,0.75,50.6,neutro,2.0
79631,Cano,FLU,Atacante,5,5.37,0.0,0.8,2,0.0,False,False,SAN,-0.917,armadilha_leve,1.826,0.8,0.25,42.1,neutro,0.38
101478,Marcelo Pitaluga,FLU,Goleiro,6,3.0,0.0,0.0,0,0.0,False,False,SAN,-1.179,armadilha_leve,0.0,0.0,0.0,51.0,neutro,0.0
102137,Vitor Eudes,FLU,Goleiro,6,2.0,0.0,0.0,0,0.0,False,False,SAN,-0.393,neutro,0.0,0.0,0.0,51.0,neutro,0.0
116447,Hércules,FLU,Meia,7,8.04,0.24,5.12,9,5.0,True,False,SAN,1.275,valor_bom,4.664,3.45,1.0,42.5,neutro,3.96
100987,Nonato,FLU,Meia,5,7.28,0.0,5.3,2,0.0,False,False,SAN,1.236,valor_bom,4.38,0.3,0.25,42.5,neutro,0.93
102928,Canobbio,FLU,Atacante,3,10.64,-0.35,7.47,8,3.9,True,False,SAN,1.606,valor_oculto,6.141,3.84,1.0,42.1,neutro,5.17
110759,John Kennedy,FLU,Atacante,7,9.14,-1.28,6.58,10,2.0,True,False,SAN,1.657,valor_oculto,5.794,3.38,1.0,42.1,neutro,4.88
87228,Guilherme Arana,FLU,Lateral,6,8.38,-0.74,4.14,7,0.8,True,False,SAN,0.255,neutro,4.871,2.43,0.875,50.6,neutro,4.31
78855,Thiago Santos,CFC,Zagueiro,6,3.2,-0.73,2.3,5,0.0,True,True,CAM,0.714,valor_bom,2.055,1.1,0.625,54.4,neutro,1.4
132071,Serna,FLU,Atacante,7,5.69,-0.39,2.32,11,1.3,True,False,SAN,-0.669,armadilha_leve,2.22,1.87,1.0,42.1,neutro,1.87
103523,Ignácio,FLU,Zagueiro,6,6.14,0.0,2.77,4,0.0,False,False,SAN,0.687,valor_bom,3.522,2.77,0.5,50.8,neutro,1.79
87887,Balbuena,GRE,Zagueiro,6,6.3,0.0,3.18,5,0.0,False,False,CRU,0.728,valor_bom,3.622,2.58,0.625,30.9,desfavoravel,1.4
72018,Tiago Volpi,RBB,Goleiro,7,10.61,-0.64,6.38,4,4.5,True,True,REM,0.54,valor_bom,5.013,3.88,0.5,73.2,favoravel,3.67
113034,Freytes,FLU,Zagueiro,7,4.96,0.08,2.88,10,1.3,True,False,SAN,0.314,neutro,2.673,1.98,1.0,50.8,neutro,2.72
63013,Marcos Rocha,GRE,Lateral,6,7.36,0.0,0.0,1,0.0,False,False,CRU,-1.539,armadilha_forte,2.787,0.0,0.125,30.7,desfavoravel,0.21
89493,Igor Rabello,FLU,Zagueiro,6,5.0,0.0,0.0,0,0.0,False,False,SAN,-2.629,armadilha_forte,0.0,0.0,0.0,50.8,neutro,0.0
88037,Luís Castro,GRE,Técnico,7,9.62,-0.28,4.86,11,4.11,True,False,CRU,-1.427,armadilha_leve,5.039,4.86,1.0,42.9,neutro,4.32
105807,Luan Freitas,FLU,Zagueiro,6,3.0,0.0,0.0,0,0.0,False,False,SAN,-1.383,armadilha_leve,0.0,0.0,0.0,50.8,neutro,0.0
140484,Riquelme Felipe,FLU,Atacante,6,4.0,0.0,0.0,0,0.0,False,False,SAN,-2.021,armadilha_forte,0.0,0.0,0.0,42.1,neutro,0.0
89273,João Pedro,GRE,Lateral,5,3.33,0.0,0.6,4,0.0,False,False,CRU,-0.245,neutro,1.655,0.6,0.5,30.7,desfavoravel,0.51
130650,Bernal,FLU,Meia,7,2.9,0.0,0.3,4,0.0,False,False,SAN,-0.533,armadilha_leve,0.656,0.3,0.5,42.5,neutro,0.28
87342,Kannemann,GRE,Zagueiro,7,5.0,0.0,0.0,0,0.0,False,False,CRU,-2.629,armadilha_forte,0.0,0.0,0.0,30.9,desfavoravel,0.0
92182,Juninho,INT,Zagueiro,6,6.58,0.0,5.0,1,0.0,False,True,MIR,1.047,valor_bom,4.02,2.0,0.125,60.6,favoravel,0.61
127932,Júlio Fidelis,FLU,Lateral,6,2.0,0.0,0.0,0,0.0,False,False,SAN,-0.62,armadilha_leve,0.0,0.0,0.0,50.6,neutro,0.0
90532,Arthur Melo,GRE,Meia,7,8.84,0.29,3.68,6,3.0,True,False,CRU,0.214,neutro,3.949,3.68,0.75,42.8,neutro,2.54
42135,Willian,GRE,Meia,5,3.93,0.0,1.25,6,0.0,False,False,CRU,-0.2,neutro,1.619,1.25,0.75,42.8,neutro,1.04
102318,Caio Paulista,GRE,Lateral,6,6.4,0.54,3.86,5,5.0,True,False,CRU,-0.403,neutro,3.414,2.66,0.625,30.7,desfavoravel,1.31
111309,Gustavo Martins,GRE,Zagueiro,7,6.53,-0.42,3.2,8,3.4,True,False,CRU,0.553,valor_bom,3.549,1.2,1.0,30.9,desfavoravel,2.19
91706,Marlon,GRE,Lateral,5,10.32,0.0,6.62,6,0.0,False,False,CRU,0.733,valor_bom,5.986,4.29,0.75,30.7,desfavoravel,2.76
105563,Carlos Vinícius,GRE,Atacante,7,14.96,-1.01,6.6,11,-1.1,True,False,CRU,0.418,neutro,5.847,1.51,1.0,42.4,neutro,4.96
89883,Dodi,GRE,Meia,6,3.04,0.0,0.13,6,0.0,False,False,CRU,-0.781,armadilha_leve,0.532,0.13,0.75,42.8,neutro,0.34
90703,Matheuzinho,VIT,Meia,7,5.92,-0.51,3.08,9,3.9,True,True,COR,0.916,valor_bom,3.584,2.52,1.0,41.9,neutro,3.0
112616,Gabriel Grando,GRE,Goleiro,6,4.0,0.0,0.0,0,0.0,False,False,CRU,-1.788,armadilha_forte,0.0,0.0,0.0,31.0,desfavoravel,0.0
125467,Viery,GRE,Zagueiro,3,3.78,-0.75,2.49,8,1.4,True,False,CRU,0.47,neutro,2.196,1.37,1.0,30.9,desfavoravel,1.36
142004,Amuzu,GRE,Atacante,7,7.56,-1.48,4.99,10,0.4,True,False,CRU,1.272,valor_bom,4.911,3.19,1.0,42.4,neutro,4.16
91908,Pavón,GRE,Atacante,7,6.16,0.05,3.67,11,3.2,True,False,CRU,-0.094,neutro,3.002,3.67,1.0,42.4,neutro,2.55
109966,Monsalve,GRE,Meia,7,2.71,0.0,0.25,6,0.0,False,False,CRU,-0.456,neutro,0.584,0.25,0.75,42.8,neutro,0.37
121792,André,GRE,Atacante,6,3.21,0.0,1.2,3,0.0,False,False,CRU,-0.583,armadilha_leve,0.965,1.2,0.375,42.4,neutro,0.31
118238,Ronald,GRE,Meia,6,3.0,0.0,0.0,0,0.0,False,False,CRU,-1.341,armadilha_leve,0.0,0.0,0.0,42.8,neutro,0.0
97145,Villasanti,GRE,Meia,6,7.0,0.0,0.0,0,0.0,False,False,CRU,-3.521,armadilha_forte,0.0,0.0,0.0,42.8,neutro,0.0
72951,Mercado,INT,Zagueiro,3,7.21,-0.31,5.21,8,5.5,True,True,MIR,1.386,valor_bom,4.554,3.33,1.0,60.6,favoravel,5.52
104994,Wagner Leonardo,GRE,Zagueiro,6,5.73,0.0,2.93,3,0.0,False,False,CRU,-0.19,neutro,2.554,2.93,0.375,30.9,desfavoravel,0.59
92981,Ronaldo,INT,Meia,6,3.89,0.0,2.85,7,0.0,False,True,MIR,0.627,valor_bom,2.341,2.14,0.875,76.8,favoravel,3.15
70944,Bruno Henrique,INT,Meia,6,3.78,0.26,0.98,9,1.7,True,True,MIR,-0.334,neutro,1.411,0.98,1.0,76.8,neutro,2.17
116067,Thiago Beltrame,GRE,Goleiro,6,2.0,0.0,0.0,0,0.0,False,False,CRU,-0.393,neutro,0.0,0.0,0.0,31.0,desfavoravel,0.0
107989,Carbonero,INT,Atacante,7,7.95,0.02,3.83,11,1.9,True,True,MIR,0.489,neutro,4.243,2.65,1.0,77.3,favoravel,6.56
86711,Richard,INT,Meia,6,4.0,0.0,0.0,0,0.0,False,True,MIR,-2.043,armadilha_forte,0.0,0.0,0.0,76.8,neutro,0.0
106202,Bruno Gomes,INT,Meia,7,6.8,0.21,3.38,11,3.6,True,True,MIR,0.673,valor_bom,3.704,3.38,1.0,76.8,favoravel,5.69
89637,Thiago Maia,INT,Meia,6,3.95,0.11,0.85,6,2.0,True,True,MIR,-0.403,neutro,1.448,0.85,0.75,76.8,neutro,1.67
63289,Edenílson,BOT,Meia,6,6.97,1.22,3.09,8,7.7,True,False,CHA,0.512,valor_bom,3.62,1.21,1.0,75.9,neutro,5.5
101960,Vitinho,INT,Atacante,7,8.01,0.4,4.59,10,8.1,True,True,MIR,0.907,valor_bom,4.688,3.09,1.0,77.3,favoravel,7.25
137543,Tevis,CRU,Atacante,6,2.0,0.0,0.0,0,0.0,False,True,GRE,-0.566,armadilha_leve,0.0,0.0,0.0,67.9,neutro,0.0
115479,Paulo Pezzolano,INT,Técnico,7,7.38,-0.29,4.66,11,4.45,True,True,MIR,0.715,valor_bom,4.658,4.66,1.0,75.7,favoravel,7.05
111683,Anthoni,INT,Goleiro,6,3.34,0.0,1.6,1,0.0,False,True,MIR,1.112,valor_bom,2.723,1.6,0.125,60.8,favoravel,0.41
111466,Victor Gabriel,INT,Zagueiro,7,4.55,0.0,2.37,9,0.0,False,True,MIR,0.224,neutro,2.391,1.7,1.0,60.6,favoravel,2.9
110510,Aguirre,INT,Lateral,6,5.65,0.0,3.35,9,0.0,False,True,MIR,-0.172,neutro,3.249,2.46,1.0,60.5,neutro,3.93
71684,Gustavo Gómez,PAL,Zagueiro,7,10.74,0.47,4.71,10,4.4,True,True,CAP,0.062,neutro,4.349,2.11,1.0,63.2,favoravel,5.5
70592,Felipe Anderson,PAL,Meia,6,6.22,-0.12,2.02,8,1.5,True,True,CAP,0.228,neutro,3.085,2.02,1.0,72.4,favoravel,4.47
123744,Alan Rodríguez,INT,Meia,6,3.27,-0.3,0.58,7,0.0,True,True,MIR,-0.751,armadilha_leve,0.716,0.58,0.875,76.8,neutro,0.96
71631,Weverton,GRE,Goleiro,7,8.37,-0.49,4.49,11,9.4,True,False,CRU,0.579,valor_bom,4.422,2.67,1.0,31.0,desfavoravel,2.74
107174,Bruno Tabata,INT,Meia,6,3.54,0.0,0.68,4,0.0,False,True,MIR,-0.87,armadilha_leve,0.783,0.68,0.5,76.8,neutro,0.6
68872,Marcelo Lomba,PAL,Goleiro,6,4.0,0.0,0.0,0,0.0,False,True,CAP,-1.788,armadilha_forte,0.0,0.0,0.0,63.5,neutro,0.0
102130,Piquerez,PAL,Lateral,5,11.43,0.0,6.43,6,0.0,False,True,CAP,0.29,neutro,5.905,4.6,0.75,63.1,favoravel,5.59
93790,Marlon Freitas,PAL,Meia,3,6.38,-0.65,3.35,11,0.5,True,True,CAP,0.828,valor_bom,3.687,1.99,1.0,72.4,favoravel,5.34
97653,Murilo,PAL,Zagueiro,7,7.74,0.66,4.03,9,5.9,True,True,CAP,0.553,valor_bom,3.968,2.14,1.0,63.2,favoravel,5.02
105647,Maurício,PAL,Meia,7,6.79,-0.16,3.08,10,2.4,True,True,CAP,0.512,valor_bom,3.556,2.08,1.0,72.4,favoravel,5.15
143488,Raykkonen,INT,Atacante,6,2.63,0.0,0.5,1,0.0,False,True,MIR,-0.289,neutro,0.835,0.5,0.125,77.3,neutro,0.16
110506,Abel Ferreira,PAL,Técnico,7,12.19,0.06,6.56,11,5.76,True,True,CAP,0.588,valor_bom,6.52,6.56,1.0,71.5,favoravel,9.32
104085,Bruno Fuchs,PAL,Zagueiro,6,8.0,0.0,3.33,3,0.0,False,True,CAP,0.217,neutro,3.743,2.33,0.375,63.2,favoravel,1.77
104084,Carlos Miguel,PAL,Goleiro,7,8.75,1.04,4.65,11,10.2,True,True,CAP,0.557,valor_bom,4.515,3.29,1.0,63.5,favoravel,5.73
99440,Baralhas,VIT,Meia,7,10.65,1.16,6.67,8,9.5,True,True,COR,1.306,valor_bom,5.41,4.17,1.0,41.9,neutro,4.53
105175,Khellven,PAL,Lateral,6,5.97,1.51,2.4,8,8.5,True,True,CAP,-0.868,armadilha_leve,2.767,2.02,1.0,63.1,neutro,3.49
