atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,prob_vitoria,prob_gols
141131,Vitão,CAM,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,False,INT,0.395,neutro,0.0,0.0,0.0,0.174,0.479
93988,Breno Lopes,CFC,Atacante,7,9.43,0.24,5.38,20,6.3,True,True,COR,0.73,valor_bom,5.223,1.93,1.0,0.307,0.384
132412,Román Gómez,BAH,Lateral,7,8.66,-0.69,5.75,8,4.3,True,False,VIT,0.823,valor_bom,5.476,4.62,1.0,0.239,0.479
114040,Minda,CAM,Atacante,6,7.11,-1.02,4.0,12,0.0,True,False,INT,0.576,valor_bom,4.332,1.83,1.0,0.174,0.479
130048,Noriega,GRE,Zagueiro,7,7.15,-0.8,4.21,16,1.7,True,False,RBB,0.824,valor_bom,4.124,2.96,1.0,0.145,0.504
90061,Bruno Pacheco,CHA,Lateral,6,5.97,-0.08,3.59,13,2.0,True,True,SAO,-0.232,neutro,3.548,2.44,1.0,0.264,0.458
106302,Preciado,CAM,Lateral,3,7.43,-1.43,4.31,10,3.1,True,False,INT,0.424,neutro,4.706,2.91,1.0,0.174,0.479
116034,Victor Hugo,CAM,Meia,7,6.44,-0.01,3.63,19,1.8,True,False,INT,0.741,valor_bom,3.766,2.31,1.0,0.174,0.479
103183,Andrew,FLA,Goleiro,6,3.0,0.0,0.0,0,0.0,False,False,CRU,-1.56,armadilha_forte,0.0,0.0,0.0,0.157,0.469
147090,Kauã Pascini,CAM,Lateral,6,3.99,0.0,3.24,5,0.0,False,False,INT,-0.336,neutro,2.398,2.04,0.625,0.174,0.479
141614,Paulinho,SAO,Atacante,6,2.0,0.0,0.0,0,0.0,False,False,CHA,-1.09,armadilha_leve,0.0,0.0,0.0,0.27,0.458
70666,Marllon,REM,Zagueiro,7,5.82,0.0,2.83,21,0.0,False,False,FLU,-0.241,neutro,2.815,2.02,1.0,0.313,0.527
83433,Patrick,REM,Meia,6,5.76,0.46,3.97,20,5.0,True,False,FLU,1.354,valor_bom,4.004,3.97,1.0,0.313,0.527
141873,Jacaré,COR,Lateral,6,2.0,0.0,0.0,0,0.0,False,False,CFC,-1.261,armadilha_leve,0.0,0.0,0.0,0.211,0.384
105089,Tetê,GRE,Atacante,6,9.27,0.18,3.83,16,5.3,True,False,RBB,-0.593,armadilha_leve,4.163,2.83,1.0,0.145,0.504
100342,Léo Andrade,REM,Zagueiro,6,4.79,0.0,2.95,4,0.0,False,False,FLU,0.353,neutro,2.835,2.95,0.5,0.313,0.527
