atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados,oportunidade_confronto,vantagem_mando,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,forma_score_time,prob_vitoria,prob_gols
98617,Maripán,INT,Zagueiro,7,4.74,0.4,1.92,4,4.7,True,True,REM,-0.113,neutro,2.403,1.17,0.5,47.7,neutro,3.24,0.575,12.2,0.574,1.304,1.015,0.856,0.275,0.582,
114208,Alejo Véliz,BAH,Atacante,7,4.01,-0.72,0.67,3,-0.3,True,False,CHA,-0.562,armadilha_leve,1.809,0.67,0.375,68.8,neutro,2.96,1.0,26.7,0.607,0.352,0.63,1.074,0.55,0.0,
124369,Léo Aragão,CRU,Goleiro,6,2.0,0.0,0.0,0,0.0,False,False,COR,-0.802,armadilha_leve,0.0,0.0,0.0,39.0,desfavoravel,0.48,0.95,-7.8,1.027,0.568,1.65,0.44,0.75,0.0,
108946,Victor Sá,SAO,Atacante,6,4.32,-0.77,0.3,3,0.0,True,True,CFC,-0.892,armadilha_leve,1.708,0.3,0.375,57.2,neutro,2.37,0.6,17.5,0.646,1.176,0.489,1.214,0.175,0.561,0.481
120681,Marco Moreno,BAH,Zagueiro,6,4.0,0.0,0.0,0,0.0,False,False,CHA,-2.545,armadilha_forte,0.0,0.0,0.0,74.8,neutro,1.96,0.75,26.7,0.607,0.352,0.63,1.074,0.55,0.0,
101995,Brítez,VIT,Zagueiro,6,5.26,0.26,2.1,2,3.0,True,True,BOT,-0.226,neutro,2.535,2.1,0.25,65.4,neutro,4.44,0.1,30.9,0.2,1.067,0.6,0.509,0.175,0.382,
103626,Ocampo,CFC,Atacante,2,4.51,-0.57,1.1,3,0.0,True,False,SAO,-0.763,armadilha_leve,1.927,1.1,0.375,36.0,desfavoravel,1.71,0.3,-17.5,0.489,1.214,0.646,1.176,0.4,0.0,0.481
130443,Luciano,CHA,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,True,BAH,0.309,neutro,0.0,0.0,0.0,37.0,neutro,0.4,0.25,-26.7,0.63,1.074,0.607,0.352,0.125,0.275,
112985,Peralta,CRU,Meia,5,4.0,0.0,0.0,0,0.0,False,False,COR,-2.628,armadilha_forte,0.0,0.0,0.0,37.5,desfavoravel,0.42,0.175,-7.8,1.027,0.568,1.65,0.44,0.75,0.0,
117061,Gabriel Knesowitsch,MIR,Zagueiro,7,2.25,-0.19,-0.03,3,0.0,True,True,FLA,0.191,neutro,1.171,0.0,0.375,38.5,neutro,0.93,0.05,-9.1,1.05,0.98,1.185,0.467,0.5,0.229,0.467
105901,Edson Fernando,REM,Meia,6,2.62,0.0,-0.3,1,0.0,False,False,INT,-0.409,neutro,0.878,0.0,0.125,52.6,neutro,1.67,0.5,-12.2,1.015,0.856,0.574,1.304,0.45,0.0,
151294,Juan Ferreira,CHA,Meia,6,1.0,0.0,0.0,0,0.0,False,True,BAH,0.535,valor_bom,0.0,0.0,0.0,27.1,neutro,-0.01,0.475,-26.7,0.63,1.074,0.607,0.352,0.125,0.275,
106199,Gabriel Pec,CRU,Atacante,5,7.94,0.0,4.1,1,0.0,False,False,COR,0.807,valor_bom,4.773,4.1,0.125,40.3,neutro,3.73,0.175,-7.8,1.027,0.568,1.65,0.44,0.75,0.0,
101254,Alef Manga,REM,Atacante,6,8.35,0.04,4.8,22,4.2,True,False,INT,0.696,valor_bom,4.815,2.3,1.0,54.9,neutro,4.5,0.5,-12.2,1.015,0.856,0.574,1.304,0.45,0.0,
141763,Fabiano Souza,VIT,Lateral,7,3.85,-0.04,0.23,3,1.3,True,True,BOT,-1.348,armadilha_leve,1.439,0.23,0.375,64.8,neutro,4.37,0.1,30.9,0.2,1.067,0.6,0.509,0.175,0.382,
99267,Pochettino,VIT,Meia,6,5.21,-0.62,1.23,3,0.5,True,True,BOT,-1.174,armadilha_leve,1.752,1.23,0.375,46.1,neutro,1.98,0.825,30.9,0.2,1.067,0.6,0.509,0.175,0.382,
128177,Pedro Emanuel,VAS,Técnico,7,11.37,0.75,5.8,2,7.3,True,True,SAN,0.009,neutro,5.96,5.8,0.25,62.8,favoravel,5.14,0.95,36.7,0.183,0.813,1.159,1.2,0.275,0.475,0.47
123445,Dantas,CAP,Meia,6,5.1,0.1,1.5,1,1.5,True,True,RBB,-0.93,armadilha_leve,1.897,1.5,0.125,52.1,neutro,2.31,0.2,32.1,1.027,0.232,1.131,0.764,0.875,0.445,0.434
