atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_FS,scout_SG,scout_FC,scout_DS,scout_G,scout_FF,scout_FD,scout_A,scout_CA,scout_I,scout_DE,scout_V,scout_GS
72951,Mercado,INT,Zagueiro,4.6,True,,1.0,1.0,,,,,,,1.0,,,
73318,Daniel Borges,MIR,Lateral,0.0,True,,,,,,,,,,,,,
78850,Reinaldo,MIR,Lateral,0.5,True,1.0,,,,,,,,,,,,
78946,Dória,SAO,Zagueiro,5.0,True,,1.0,,,,,,,,,,,
80570,Wendell,SAO,Lateral,4.7,True,,1.0,1.0,,,,,,,,,,
82775,Lucas Ramon,SAO,Lateral,5.0,True,,1.0,,,,,,,,,,,
85403,Danielzinho,SAO,Meia,0.0,True,,,,,,,,,,,,,
86686,Tchê Tchê,VAS,Meia,2.0,True,1.0,,,1.0,,,,,,,,,
87008,Léo Jardim,VAS,Goleiro,-2.0,True,,,,,,,,,,,,,2.0
87228,Guilherme Arana,FLU,Lateral,5.0,True,,1.0,,,,,,,,,,,
88037,Luís Castro,GRE,Técnico,0.0,False,,,,,,,,,,,,,
88312,Junior Alonso,CAM,Zagueiro,6.5,True,,1.0,,1.0,,,,,,,,,
88963,Leonardo Jardim,FLA,Técnico,0.0,False,,,,,,,,,,,,,
89837,Lucho Acosta,FLU,Meia,0.0,True,,,,,,,,,,,,,
90917,Carlos Eduardo,MIR,Atacante,0.5,True,,,1.0,,,1.0,,,,,,,
92180,Jair Ventura,VIT,Técnico,0.0,False,,,,,,,,,,,,,
92182,Juninho,INT,Zagueiro,6.5,True,,1.0,,1.0,,,,,,,,,
92273,Odair Hellmann,CAP,Técnico,0.0,False,,,,,,,,,,,,,
92747,Eduardo Domínguez,CAM,Técnico,5.95,True,,,,,,,,,,,,1.0,
94154,Maycon,CAM,Meia,2.7,True,,,,1.0,,,1.0,,,,,,
94514,Lucas Oliveira,MIR,Zagueiro,3.0,True,,,,2.0,,,,,,,,,
