nome,clube,clube_id,posicao,status_id,status_label,preco,min_valorizar,media,media_bayesiana,variacao,jogos,pb_media,resiliencia_pct,confiabilidade,custo_beneficio,cb_rank,mandante,adversario,tendencia,residuo_z,armadilha_label,time_pos,adv_pos,vantagem_mando,oportunidade_confronto,time_momentum_of,time_momentum_def,forma_score_time,sequencia_time,adv_momentum_of,adv_momentum_def,score_confronto_z,score_confronto_100
Aguirre,CAP,293,Zagueiro,7,Provável,5.33,12.3,3.47,3.257,-1.1,6,2.47,0.712,0.75,0.458,24,False,CAM,baixa,0.934,valor_bom,,,,,,,,,,,0.0,50.0
Léo Derik,CAP,293,Lateral,7,Provável,4.6,10.6,3.17,3.9,0.34,4,2.42,0.763,0.5,0.424,29,False,CAM,estavel,0.833,valor_bom,,,,,,,,,,,0.0,50.0
Dudu,CAP,293,Meia,7,Provável,2.42,6.8,2.7,2.743,-1.6,6,1.87,0.693,0.75,0.85,1,False,CAM,baixa,1.341,valor_bom,,,,,,,,,,,0.0,50.0
Viveros,CAP,293,Atacante,7,Provável,10.95,21.9,7.43,5.199,-1.54,7,3.29,0.443,0.875,0.415,52,False,CAM,baixa,0.903,valor_bom,,,,,,,,,,,0.0,50.0
Maicon,CFC,294,Zagueiro,7,Provável,4.36,10.0,2.67,2.883,0.0,8,1.54,0.577,1.0,0.661,4,True,FLU,estavel,0.97,valor_bom,,,,,,,,,,,0.0,50.0
Pedro Rocha,CFC,294,Atacante,7,Provável,6.9,15.9,4.0,3.645,-0.19,9,2.22,0.555,1.0,0.528,18,True,FLU,estavel,0.6,valor_bom,,,,,,,,,,,0.0,50.0
Bruno Melo,CFC,294,Lateral,7,Provável,5.53,12.7,3.79,4.027,0.25,8,2.04,0.538,1.0,0.728,3,True,FLU,estavel,0.625,valor_bom,,,,,,,,,,,0.0,50.0
Sebastián Gómez,CFC,294,Meia,7,Provável,3.4,9.5,1.74,2.292,-0.69,7,1.74,1.0,0.875,0.59,10,True,FLU,baixa,0.573,valor_bom,,,,,,,,,,,0.0,50.0
Fernando Seabra,CFC,294,Técnico,7,Provável,7.2,16.6,5.27,5.362,-0.03,9,5.27,1.0,1.0,0.745,1,True,FLU,estavel,1.089,valor_bom,,,,,,,,,,,0.0,50.0
Jacy,CFC,294,Zagueiro,7,Provável,5.11,11.8,4.27,3.683,0.32,8,2.77,0.649,1.0,0.721,3,True,FLU,estavel,1.412,valor_bom,,,,,,,,,,,0.0,50.0
Josué,CFC,294,Meia,7,Provável,4.64,10.7,2.29,2.532,0.01,8,1.04,0.454,1.0,0.546,11,True,FLU,estavel,0.453,neutro,,,,,,,,,,,0.0,50.0
Pedro Rangel,CFC,294,Goleiro,7,Provável,5.66,13.0,4.6,4.205,-0.12,6,2.1,0.457,0.75,0.557,4,True,FLU,estavel,1.69,valor_oculto,,,,,,,,,,,0.0,50.0
Lucas Ronier,CFC,294,Atacante,7,Provável,11.83,23.7,8.82,6.197,1.25,9,6.26,0.71,1.0,0.524,19,True,FLU,alta,1.556,valor_oculto,,,,,,,,,,,0.0,50.0
Marcelo Rangel,REM,364,Goleiro,7,Provável,4.21,9.7,2.45,3.136,-1.19,9,2.45,1.0,1.0,0.745,1,False,GRE,baixa,1.479,valor_bom,,,,,,,,,,,0.0,50.0
Vini Paulista,CFC,294,Meia,7,Provável,3.36,9.4,1.91,2.317,-0.27,9,1.91,1.0,1.0,0.69,4,True,FLU,estavel,0.612,valor_bom,,,,,,,,,,,0.0,50.0
Marcelinho,REM,364,Lateral,7,Provável,4.02,9.2,2.6,3.551,0.98,6,2.6,1.0,0.75,0.663,5,False,GRE,alta,0.752,valor_bom,,,,,,,,,,,0.0,50.0
Rafael Santos,CHA,315,Goleiro,7,Provável,3.19,8.9,1.2,3.608,0.19,1,1.2,1.0,0.125,0.141,26,True,VIT,estavel,2.509,valor_oculto,,,,,,,,,,,0.0,50.0
Jean Carlos,CHA,315,Meia,7,Provável,8.18,16.4,4.91,3.842,-0.05,8,2.41,0.491,1.0,0.47,31,True,VIT,estavel,0.764,valor_bom,,,,,,,,,,,0.0,50.0
Léo Vieira,BAH,265,Goleiro,7,Provável,7.6,17.5,6.11,5.009,1.11,8,4.86,0.795,1.0,0.659,2,True,PAL,alta,1.369,valor_bom,,,,,,,,,,,0.0,50.0
