atleta_id,nome,clube_id,clube,posicao_id,pontos,preco,variacao,scout_DS,scout_FC,scout_I,scout_FS,scout_SG,scout_CA,scout_FD,scout_FF,scout_PP,scout_G,scout_DE,scout_GS,scout_A,scout_GC,scout_PC,scout_FT,scout_V,scout_CV,scout_DP,scout_PS
147850,Rodrigo Bellão,263,BOT,6,,,,,,,,,,,,,,,,,,,,1.0,,,
148125,Ryan Augusto,280,RBB,2,,,,4.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,
37457,Léo Condé,364,REM,6,,,,,,,,,,,,,,,,,,,,,,,
37656,Fábio,266,FLU,1,,,,,,,,,,,,,,3.0,1.0,,,,,,,,
39148,Hulk,282,CAM,5,,,,,1.0,,3.0,,,,,,,,,,,,,,,,
39656,Alan Franco,282,CAM,4,,,,,,,,,,,,,,,,,,,,,,,
39850,Vagner Mancini,280,RBB,6,,,,,,,,,,,,,,,,,,,,1.0,,,
40990,Dorival Júnior,264,COR,6,,,,,,,,,,,,,,,,,,,,,,,
41929,Renato Gaúcho,267,VAS,6,,,,,,,,,,,,,,,,,,,,,,,
42411,Cuca,277,SAN,6,,,,,,,,,,,,,,,,,,,,,,,
51413,Walter,2305,MIR,1,,,,,,,,,,,,,,3.0,1.0,,,,,,,,
51772,Everton Ribeiro,265,BAH,4,,,,1.0,1.0,,3.0,,,1.0,,,,,,1.0,,,,,,,
62977,Ganso,266,FLU,4,,,,1.0,,,2.0,,,,,,,,,,,,,,,,
63008,Rafael Tolói,276,SAO,3,,,,3.0,,,,,,,,,,,,,,,,,,,
63289,Edenílson,263,BOT,4,,,,,2.0,,,,,1.0,,,,,,,,,,,,,
68708,Eduardo,2305,MIR,4,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,
68822,Rafael Santos,315,CHA,1,,,,,,,,,,,,,,7.0,1.0,,,,,,,,
68920,Dudu,282,CAM,5,,,,,1.0,,,,,1.0,,,,,,,,,,,,,
68928,Rafael,276,SAO,1,,,,,,,,,,,,,,6.0,1.0,,,,,,,,
68996,Willian José,265,BAH,5,,,,,,,,,,,,,,,,,,,,,,,
69012,Santos,293,CAP,1,,,,,,,,,,,,,,3.0,2.0,,,,,,,,
69140,Allan,263,BOT,4,,,,4.0,1.0,,,,,,,,,,,,,,,,,,
70592,Felipe Anderson,275,PAL,4,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
70666,Marllon,364,REM,3,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
70944,Bruno Henrique,285,INT,4,,,,,2.0,,,,,,,,,,,,,,,,,,
70958,Jean Carlos,315,CHA,4,,,,,,,,,,,2.0,,,,,,,,,,,,
71043,Léo Vieira,265,BAH,1,,,,,,,,,,,,,,4.0,2.0,,,,,,,,
71123,Thiago Mendes,267,VAS,4,,,,,,,2.0,,,,,,,,,,,,,,,,
71227,Maicon,294,CFC,3,,,,,1.0,,,,,,,,,,,,,,,,,,
71536,Luiz Gustavo,293,CAP,4,,,,,,,4.0,,,,1.0,,,,,,,,,,,,
71631,Weverton,284,GRE,1,,,,,,,,1.0,,,,,,3.0,,,,,,,,1.0,
71684,Gustavo Gómez,275,PAL,3,,,,,,,,,,,,,,,,,,,,,,,
71898,Gabriel Pires,2305,MIR,4,,,,2.0,,,,,,,1.0,,,,,,,,1.0,,,,
72018,Tiago Volpi,280,RBB,1,,,,,,,,1.0,,,,,,3.0,,,,,,,,,
72294,Everson,282,CAM,1,,,,,,,1.0,,,,,,,2.0,1.0,,,,,,,,
72460,Bernard,282,CAM,4,,,,,,,2.0,,,,,,,,,,,,,,,,
72493,Alex Telles,263,BOT,2,,,,1.0,,,,,,,,,,,,,,,,,,,
72605,Vitor Hugo,282,CAM,3,,,,1.0,1.0,,2.0,,,,1.0,,,,,,,,,,,,
72951,Mercado,285,INT,3,,,,3.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,
78117,Everaldo,265,BAH,5,,,,1.0,2.0,,1.0,,,,2.0,,,,,,,,,,,,
78248,Gustavo Henrique,264,COR,3,,,,2.0,2.0,,2.0,,,,1.0,,,,,,,,,,,,
78435,Vitinho,264,COR,5,,,,,,,,,,,1.0,,,,,,,,,,,,
78478,Willian Arão,277,SAN,4,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
78605,Gabriel,280,RBB,4,,,,2.0,,,,,,,,,,,,,,,,,,,
78850,Reinaldo,2305,MIR,2,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,
78946,Dória,276,SAO,3,,,,,,,,,,,,,,,,,,,,,,,
79437,Roger Machado,276,SAO,6,,,,,,,,,,,,,,,,,,,,1.0,,,
79631,Cano,266,FLU,5,,,,,,,,,,,2.0,,,,,,,,,,,,
79701,Lucas Silva,283,CRU,4,,,,,,,,,,,,,,,,,,,,,,,
