nome,clube,posicao,status_label,preco,variacao,media,jogos,mandante,adversario,tendencia,prob_vitoria,min_valorizar,pb_media,resiliencia_pct,confiabilidade,media_bayesiana,residuo_z,armadilha_label,custo_beneficio,cb_rank
Ruan,CAM,Zagueiro,Provável,6.33,0.89,3.5,19,False,INT,alta,0.174,9.2,2.39,0.683,1.0,3.634,0.562,valor_bom,0.574,18
Willian Machado,MIR,Zagueiro,Provável,5.54,0.2,3.58,16,False,SAN,estavel,0.477,3.6,2.71,0.757,1.0,3.312,0.544,valor_bom,0.598,11
Arthur Dias,CAP,Zagueiro,Provável,5.67,-0.78,3.61,19,False,BOT,baixa,0.281,1.7,2.5,0.693,1.0,3.363,0.541,valor_bom,0.593,13
Tiago Cóser,CFC,Zagueiro,Provável,4.78,0.39,3.02,20,True,COR,estavel,0.307,9.9,1.22,0.404,1.0,2.951,0.508,valor_bom,0.617,9
Wallace,GRE,Zagueiro,Provável,5.12,-0.96,4.3,2,False,RBB,baixa,0.145,4.3,1.3,0.302,0.25,3.082,0.478,neutro,0.15,80
Léo Pereira,FLA,Zagueiro,Provável,8.96,-1.63,4.56,18,False,CRU,baixa,0.157,1.5,2.28,0.5,1.0,4.373,0.449,neutro,0.488,38
Justino,BOT,Zagueiro,Provável,3.24,0.0,2.74,8,True,CAP,estavel,0.414,2.7,1.62,0.591,1.0,2.048,0.422,neutro,0.632,5
Vitor Hugo,CAM,Zagueiro,Provável,8.29,2.09,4.34,9,False,INT,alta,0.174,12.7,2.01,0.463,1.0,4.157,0.412,neutro,0.501,35
Gabriel Paulista,COR,Zagueiro,Provável,8.7,-0.64,4.38,17,False,CFC,baixa,0.211,1.5,2.79,0.637,1.0,4.243,0.373,neutro,0.488,38
Murilo,PAL,Zagueiro,Provável,6.84,-0.35,3.55,20,True,VAS,estavel,0.575,3.6,1.95,0.549,1.0,3.665,0.368,neutro,0.536,24
Eduardo Doma,CHA,Zagueiro,Provável,4.18,0.16,2.37,19,True,SAO,estavel,0.264,3.0,1.9,0.802,1.0,2.491,0.297,neutro,0.596,12
Alix Vinicius,RBB,Zagueiro,Provável,5.15,0.0,3.0,17,True,GRE,estavel,0.539,3.0,1.76,0.587,1.0,2.929,0.264,neutro,0.569,20
