atleta_id,nome,clube_id,clube,posicao_id,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,scout_CA,scout_DE,scout_FS,scout_GS,scout_PC,scout_SG,scout_V,scout_DS,scout_FC,scout_FD,scout_G,scout_I,scout_FF,scout_A,scout_PS,scout_GC,scout_CV,scout_FT,scout_PP,scout_DP,mandante,adversario,prob_vitoria,prob_gols,tendencia,min_valorizar,pb_media,resiliencia_pct,confiabilidade,media_bayesiana,residuo_z,armadilha_label,custo_beneficio,cb_rank,status_label,time_pos,adv_pos,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,sequencia_time,forma_score_time,vantagem_mando,oportunidade_confronto,score_confronto,score_confronto_z,score_confronto_100,condicao_mando,pontos_esperados,caro_e_vale,recomendacao
105436,Carrascal,262,FLA,4,Meia,7,11.5,1.39,6.29,20,10.9,True,2.0,,22.0,,,0.0,,25.0,12.0,9.0,4.0,2.0,13.0,6.0,,,2.0,2.0,,,False,SAN,0.506,,alta,10.9,3.79,0.603,1.0,5.662,1.149,valor_bom,0.492,87,Provável,1.0,8.0,1.018,0.487,1.185,0.675,5.0,1.0,11.9,0.725,0.592,1.0,65.0,neutro,4.18,False,TITULAR
80313,Gilberto,293,CAP,2,Lateral,7,6.69,-0.67,4.4,14,0.0,True,,,3.0,,,3.0,,21.0,5.0,4.0,0.0,1.0,3.0,1.0,,,,1.0,,,True,CAM,0.463,,baixa,4.4,3.4,0.773,1.0,4.132,-0.0,neutro,0.618,27,Provável,3.0,7.0,1.563,2.1,0.9,0.844,2.0,0.6,40.5,0.7,0.6425,0.884,63.3,neutro,3.71,False,TITULAR
109401,Erick Pulga,265,BAH,5,Atacante,7,8.38,-0.11,4.78,26,7.6,True,5.0,,49.0,,1.0,0.0,,26.0,26.0,14.0,4.0,13.0,10.0,2.0,3.0,,,2.0,,,False,PAL,0.18,,estavel,7.6,3.16,0.661,1.0,4.829,0.464,neutro,0.576,41,Provável,5.0,2.0,1.433,1.12,0.834,0.533,-1.0,0.7,-24.5,0.05,0.3579,-1.404,28.9,desfavoravel,4.06,False,TITULAR
91772,David Duarte,265,BAH,3,Zagueiro,7,6.33,0.49,3.94,20,4.7,True,4.0,,8.0,,,3.0,,24.0,16.0,4.0,3.0,2.0,5.0,0.0,,1.0,,1.0,,,False,PAL,0.18,,estavel,4.7,2.59,0.657,1.0,3.987,0.829,valor_bom,0.63,10,Provável,5.0,2.0,1.433,1.12,0.834,0.533,-1.0,0.7,-24.5,0.125,0.3741,-1.106,33.4,desfavoravel,3.29,False,TITULAR
98517,Jean Lucas,265,BAH,4,Meia,7,8.85,-1.47,5.38,23,0.0,True,3.0,,20.0,,,0.0,,41.0,34.0,3.0,4.0,1.0,11.0,3.0,,,,2.0,,,False,PAL,0.18,,baixa,5.4,3.86,0.717,1.0,5.048,1.246,valor_bom,0.57,40,Provável,5.0,2.0,1.433,1.12,0.834,0.533,-1.0,0.7,-24.5,0.05,0.3579,-1.362,29.6,desfavoravel,4.09,False,TITULAR
97868,Iago,276,SAO,2,Lateral,7,6.24,0.2,4.54,10,5.5,True,,,7.0,,,3.0,,10.0,8.0,2.0,1.0,,1.0,0.0,,,,1.0,,,False,CRU,0.247,,estavel,5.5,3.04,0.67,1.0,4.151,0.275,neutro,0.665,12,Provável,11.0,6.0,0.844,0.72,1.333,1.12,1.0,0.65,-38.1,0.25,0.3464,-1.366,29.5,desfavoravel,3.03,False,WATCH
98484,Kanu,265,BAH,3,Zagueiro,7,3.14,-0.08,0.94,5,1.7,True,2.0,,2.0,,,1.0,,1.0,6.0,1.0,0.0,2.0,,0.0,,,,,,,False,PAL,0.18,,estavel,1.7,0.34,0.362,0.625,1.255,-0.674,armadilha_leve,0.25,81,Provável,5.0,2.0,1.433,1.12,0.834,0.533,-1.0,0.7,-24.5,0.125,0.3741,-1.106,33.4,desfavoravel,2.11,False,WATCH
104783,Acevedo,265,BAH,4,Meia,7,7.55,0.04,5.11,25,4.7,True,8.0,,31.0,,,0.0,,70.0,53.0,6.0,1.0,,6.0,1.0,,,,2.0,,,False,PAL,0.18,,estavel,4.7,4.71,0.922,1.0,4.863,1.548,valor_oculto,0.644,13,Provável,5.0,2.0,1.433,1.12,0.834,0.533,-1.0,0.7,-24.5,0.05,0.3579,-1.362,29.6,desfavoravel,3.76,False,TITULAR
117632,Garro,264,COR,4,Meia,7,10.36,1.08,4.79,25,7.4,True,8.0,,70.0,,,0.0,,14.0,26.0,14.0,2.0,2.0,14.0,6.0,,,,2.0,,,False,INT,0.261,,alta,7.4,3.19,0.666,1.0,4.621,0.112,neutro,0.446,113,Provável,14.0,18.0,0.772,1.75,1.12,1.244,-6.0,0.0,2.6,0.55,0.4191,-0.744,38.8,neutro,3.43,False,TITULAR
113397,Cristian Olivera,265,BAH,5,Atacante,7,8.1,0.0,4.1,20,0.0,False,3.0,,38.0,,,0.0,,17.0,14.0,15.0,1.0,7.0,8.0,2.0,,,,1.0,,,False,PAL,0.18,,estavel,4.1,3.2,0.78,1.0,4.354,-0.025,neutro,0.538,61,Provável,5.0,2.0,1.433,1.12,0.834,0.533,-1.0,0.7,-24.5,0.05,0.3579,-1.404,28.9,desfavoravel,3.71,False,TITULAR
