atleta_id,nome,clube_id,clube,posicao_id,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,scout_DS,scout_I,scout_CA,scout_DE,scout_FS,scout_GS,scout_PC,scout_SG,scout_FC,scout_A,scout_FD,scout_FF,scout_V,scout_G,scout_GC,scout_FT,scout_PP,scout_PS,scout_CV,scout_DP
102130,Piquerez,275,PAL,2,Lateral,7,11.05,0.0,6.67,11,0.0,False,15.0,1.0,1.0,,10.0,,,4.0,5.0,4.0,2.0,4.0,,,,1.0,,,,
71631,Weverton,284,GRE,1,Goleiro,7,7.18,-0.03,4.44,20,0.6,True,,,2.0,54.0,5.0,25.0,1.0,5.0,,1.0,,,,,,,,,,2.0
89637,Thiago Maia,285,INT,4,Meia,6,3.6,0.0,0.92,10,0.0,False,5.0,1.0,,,2.0,,,,1.0,,1.0,,,,,,,,,
92182,Juninho,285,INT,3,Zagueiro,7,6.07,0.71,3.02,7,8.1,True,3.0,,,,,,,3.0,,,,2.0,,,,,,,,
104084,Carlos Miguel,275,PAL,1,Goleiro,7,7.95,0.15,4.92,23,2.9,True,,,3.0,70.0,11.0,20.0,,8.0,,,,,,,,,,,,
98873,Samuel Lino,262,FLA,5,Atacante,7,11.23,-1.04,7.64,22,4.5,True,32.0,3.0,2.0,,39.0,,,,18.0,7.0,9.0,14.0,,6.0,,1.0,,,,
82628,Tinga,294,CFC,2,Lateral,5,5.53,0.0,3.59,16,0.0,False,20.0,,,,11.0,,,2.0,3.0,2.0,1.0,2.0,,,,,,,,
110506,Abel Ferreira,275,PAL,6,Técnico,7,12.41,0.72,6.7,24,10.37,True,,,,,,,,,,,,,15.0,,,,,,,
99818,Paulinho,275,PAL,5,Atacante,5,10.37,0.0,3.42,6,0.0,False,1.0,1.0,1.0,,4.0,,,,1.0,,,3.0,,2.0,,,,,,
92811,Bruno Rodrigues,283,CRU,5,Atacante,6,4.72,0.0,2.4,15,0.0,False,7.0,6.0,,,13.0,,,,8.0,2.0,2.0,2.0,,1.0,,,,,,
84674,Lucas Evangelista,275,PAL,4,Meia,6,3.94,0.0,1.09,19,0.0,False,6.0,,,,12.0,,,,5.0,1.0,,3.0,,,,,,,,
108683,Emiliano Martínez,275,PAL,4,Meia,6,4.35,0.36,2.26,12,3.0,True,17.0,,1.0,,3.0,,,,7.0,,2.0,1.0,,,,,,,,
113103,Flaco López,275,PAL,5,Atacante,7,15.87,2.1,7.08,21,22.8,True,23.0,14.0,2.0,,45.0,,,,30.0,3.0,9.0,18.0,,8.0,,,,,,
143488,Raykkonen,285,INT,5,Atacante,6,2.63,0.0,0.5,1,0.0,False,,,,,1.0,,,,,,,,,,,,,,,
105175,Khellven,275,PAL,2,Lateral,6,5.08,-0.61,2.81,16,1.5,True,19.0,,3.0,,7.0,,1.0,4.0,15.0,,,2.0,,,1.0,1.0,,,,
