atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_FF,scout_FS,scout_SG,scout_CA,scout_FC,scout_FD,scout_I,scout_DS,scout_DE,scout_GS,scout_FT,scout_V,scout_CV,scout_A,scout_G
84626,Josué,CFC,Meia,1.0,True,,2.0,,,,,,,,,,,,,
88037,Luís Castro,GRE,Técnico,0.0,False,,,,,,,,,,,,,,,
88393,Ayrton Lucas,FLA,Lateral,7.3,True,1.0,,1.0,,,,,1.0,,,,,,,
88717,Celso Rodrigues,CHA,Técnico,0.0,False,,,,,,,,,,,,,,,
88963,Leonardo Jardim,FLA,Técnico,6.29,True,,,,,,,,,,,,1.0,,,
90031,Mendoza,CAP,Atacante,0.9,True,,2.0,,,,,1.0,,,,,,,,
90285,Bruno Henrique,FLA,Atacante,2.2,True,1.0,1.0,,,2.0,,,1.0,,,,,,,
90302,Pedro Rocha,CFC,Atacante,-1.8,True,,,,,1.0,,,1.0,,,,,1.0,,
90917,Carlos Eduardo,MIR,Atacante,2.0,True,1.0,,,,,1.0,,,,,,,,,
91473,Erick Pulgar,FLA,Meia,-1.3,True,,,,1.0,1.0,,,,,,,,,,
92180,Jair Ventura,VIT,Técnico,0.0,False,,,,,,,,,,,,,,,
92273,Odair Hellmann,CAP,Técnico,4.68,True,,,,,,,,,,,,,,,
92747,Eduardo Domínguez,CAM,Técnico,0.0,False,,,,,,,,,,,,,,,
93988,Breno Lopes,CFC,Atacante,0.5,True,,1.0,,,,,,,,,,,,,
94583,Pedro,FLA,Atacante,9.7,True,1.0,,,,,2.0,,1.0,,,,,,1.0,
96870,Emerson Royal,FLA,Lateral,5.9,True,,,1.0,,1.0,1.0,,,,,,,,,
97321,Alesson,MIR,Atacante,4.8,True,1.0,2.0,,,,,,2.0,,,,,,,
97341,Rogério Ceni,BAH,Técnico,0.0,False,,,,,,,,,,,,,,,
97460,João Victor,MIR,Zagueiro,5.9,True,,,1.0,,2.0,,,1.0,,,,,,,
97520,Shaylon,MIR,Meia,0.0,True,,,,,,,,,,,,,,,
97867,Léo Ortiz,FLA,Zagueiro,5.0,True,,,1.0,,,,,,,,,,,,
97878,Jacy,CFC,Zagueiro,3.1,True,2.0,,,,,,,1.0,,,,,,,
97900,Vitão,FLA,Zagueiro,5.5,True,,1.0,1.0,,,,,,,,,,,,
98873,Samuel Lino,FLA,Atacante,12.2,True,,,,,,1.0,,2.0,,,,,,,1.0
99366,Luis Zubeldía,FLU,Técnico,0.0,False,,,,,,,,,,,,,,,
99552,Rossi,FLA,Goleiro,5.0,True,,,1.0,,,,,,,,,,,,
