atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_SG,scout_DS,scout_FF,scout_FT,scout_FS,scout_FC,scout_G,scout_I,scout_CA,scout_V,scout_DE,scout_FD,scout_GS,scout_GC,scout_A
104204,Edson Carioca,MIR,Atacante,3.3,True,,2.0,,,,3.0,,,,,,1.0,,,
104783,Acevedo,BAH,Meia,1.5,True,,1.0,,,,,,,,,,,,,
105048,Jajá,REM,Atacante,4.6,True,,2.0,2.0,,,,,,,,,,,,
105157,Villagra,INT,Meia,1.7,True,,1.0,,,1.0,1.0,,,,,,,,,
105436,Carrascal,FLA,Meia,3.7,True,,1.0,,,2.0,,,,,,,1.0,,,
105647,Maurício,PAL,Meia,0.9,True,,,,,,1.0,,,,,,1.0,,,
105990,Santiago Mingo,BAH,Zagueiro,5.0,True,1.0,,,,,,,,,,,,,,
106202,Bruno Gomes,INT,Meia,6.0,True,,3.0,,,3.0,,,,,,,,,,
106708,Igor Formiga,MIR,Lateral,3.2,True,,3.0,,,,1.0,,,1.0,,,,,,
106822,Rodrigo Nestor,BAH,Meia,3.0,True,,2.0,,,,,,,,,,,,,
106907,Rafael Lacerda,CHA,Técnico,0.0,False,,,,,,,,,,,,,,,
107093,Luciano Juba,BAH,Lateral,6.2,True,1.0,1.0,,,,1.0,,,,,,,,,
107989,Carbonero,INT,Atacante,5.8,True,,1.0,3.0,,3.0,2.0,,2.0,,,,1.0,,,
109401,Erick Pulga,BAH,Atacante,2.5,True,,1.0,,,2.0,,,,,,,,,,
109461,Calebe,INT,Meia,0.5,True,,,,,1.0,,,,,,,,,,
109573,Martinelli,FLU,Meia,2.3,True,,1.0,1.0,,,,,,,,,,,,
110426,Bernabei,INT,Lateral,4.0,True,,1.0,1.0,,1.0,,,,,,,1.0,,,
110506,Abel Ferreira,PAL,Técnico,2.78,True,,,,,,,,,,,,,,,
111690,Matheus Cunha,INT,Goleiro,2.9,True,,,,,,,,,,,3.0,,1.0,,
112863,Ramón Sosa,PAL,Atacante,-0.1,True,,,,,,,,1.0,,,,,,,
113034,Freytes,FLU,Zagueiro,5.5,True,1.0,,,,1.0,,,,,,,,,,
113125,Picco,REM,Meia,15.7,True,,5.0,,,1.0,1.0,1.0,,,,,,,,
114208,Alejo Véliz,BAH,Atacante,0.8,True,,,1.0,,,,,,,,,,,,
115479,Paulo Pezzolano,INT,Técnico,5.03,True,,,,,,,,,,,,,,,
115537,Marcos Victor,BAH,Zagueiro,5.0,True,1.0,,,,,,,,,,,,,,
115914,Evertton Araújo,FLA,Meia,0.9,True,,1.0,,,,2.0,,,,,,,,,
115986,Denilson,MIR,Meia,14.1,True,,9.0,,,3.0,3.0,,,,,,,,,
117061,Gabriel Knesowitsch,MIR,Zagueiro,-1.6,True,,,,,,2.0,,,1.0,,,,,,
122660,Japa,MIR,Meia,3.6,True,,2.0,,,,2.0,,,,,,1.0,,,
123016,David Braga,REM,Meia,0.5,True,,,,,1.0,,,,,,,,,,
126182,Paulinho,INT,Meia,1.4,True,,,,,1.0,1.0,,,,,,1.0,,,
126977,Fernando Seabra,CFC,Técnico,0.0,False,,,,,,,,,,,,,,,
127273,Artur Jorge,CRU,Técnico,0.0,False,,,,,,,,,,,,,,,
128177,Pedro Emanuel,VAS,Técnico,0.0,False,,,,,,,,,,,,,,,
130209,Renê,VIT,Atacante,0.0,True,,,,,,,,,,,,,,,
132412,Román Gómez,BAH,Lateral,6.5,True,1.0,1.0,,,,,,,,,,,,,
141451,Allan,PAL,Meia,3.5,True,,,,1.0,1.0,,,,,,,,,,
141763,Fabiano Souza,VIT,Lateral,6.5,True,1.0,1.0,,,,,,,,,,,,,
149990,Franclim Carvalho,BOT,Técnico,0.0,False,,,,,,,,,,,,,,,
